Geno	MeanES	pVal
SS01566>TNT-E	-0.46088	8.4519e-06
PB.b-LAL.s-PS.s (SS02216)>TNT-E	-0.45841	3.5255e-07
c41-Gal4>TNT-E	-0.45731	4.2092e-09
SS02391>TNT-E	-0.45407	1.5391e-05
MB010B>TNT-E	-0.43786	2.5187e-08
SS00090>TNT-E	-0.43682	5.052e-06
R64C10>TNT-E	-0.4357	1.9655e-05
ple-Gal4>TNT-E	-0.43232	1.9315e-05
tutl-Cha > TNT-E	-0.43072	9.9433e-05
R70F10>TNT-E	-0.43028	1.9613e-06
SS52578>TNT-E	-0.42037	0.0001348
acj6-Gal4>TNT-E	-0.41634	4.9043e-05
R51H05 > TNT-E	-0.41376	3.7913e-06
cry-Gal4.Z16>TNT-E	-0.40126	0.0014276
JO15-Gal4>TNT-E	-0.39897	2.5434e-07
R20A02>TNT-E	-0.3948	0.00010284
R14F05>TNT-E	-0.39477	3.9168e-06
R44B02>TNT-E	-0.39372	0.00082429
SS50464>TNT-E	-0.38526	0.0057016
R70G01>TNT-E	-0.37902	6.7853e-05
PBG1-7.s-FBl2.s-LAL.b-cre.b (SS02214)>TNT-E	-0.3726	0.0018001
Mmp2NP0509-Gal4>TNT-E	-0.3689	0.00033376
cry24-Gal4, Pdf-Gal80 > UAS-TNT-E	-0.36393	2.4773e-06
Trh long-Gal4>TNT-E	-0.35528	0.00016816
DNp01 (SS00727)> TNT-E	-0.35146	0.00012399
R91A01>TNT-E	-0.32895	0.001135
R20E05>TNT-E	-0.32813	0.0054883
R95E11>TNT-E	-0.31972	0.00030694
R50C11>TNT-E	-0.31696	0.00061496
Pdf-Gal4>TNT-E	-0.30795	0.0015397
R85A11>TNT-E	-0.30124	0.0024974
JO-ACE>TNT-E	-0.29853	0.0027727
Ilp2-Gal4>TNT-E	-0.29335	0.0002948
R47A08>TNT-E	-0.2721	0.0048992
R86H08>TNT-E	-0.26646	0.0075641
c708a-Gal4>TNT-E	-0.25071	0.060052
cry-Gal4(24)/X; CyO/UAS-TNT-E	-0.24974	0.0062529
R32G08>TNT-E	-0.24724	0.014694
R26D11>TNT-E	-0.24533	0.011985
DNc01(SS04161)>TNT-E	-0.20054	0.016217
SS00117>TNT-E	-0.18468	0.090309
R30G08>TNT-E	-0.1802	0.057355
DNp01 (SS00726)>TNT-E	-0.17079	0.024692
R46E11>TNT-E	-0.13308	0.16769
SS02255>TNT-E	-0.12451	0.12869
R61G12>TNT-E	-0.11948	0.20251
R21H04>TNT-E	-0.11559	0.21903
R64C04>TNT-E	-0.10127	0.32431
R65C11>TNT-E	-0.042156	0.65547
DNc02 (SS02395)>TNT-E	-0.034644	0.70035
R45B03>TNT-E	0.00097771	0.98362
R50H05>TNT-E	0.049538	0.65426
